timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
2023-05-15T16:11:34,codecarbon,ed96f2e2-1c42-43f4-bdb1-e9ee80ad9f73,0.0651581287384033,5.8255887693829016e-08,8.940693789368106e-07,5.0,0.0,12.0,9.040004677242705e-08,0,2.1620988845825202e-07,3.06609935230679e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:36,codecarbon,7bd71ce9-e0c7-4f45-abdc-65792fe5111e,0.0665071010589599,5.9418311383989145e-08,8.934130406813783e-07,5.0,0.0,12.0,9.222494231330025e-08,0,2.205030123392741e-07,3.127279546525744e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:37,codecarbon,9af4f2c7-b7a9-45de-9b53-ac504a04a753,0.06144380569458,5.500672856966655e-08,8.95236353735795e-07,5.0,0.0,12.0,8.526941140492757e-08,0,2.042396863301595e-07,2.895090977350871e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:38,codecarbon,cf92ad81-fdcb-443d-8e96-ef1edd7e4965,0.0627741813659668,5.6134309371312464e-08,8.942260679443258e-07,5.0,0.0,12.0,8.708337942759197e-08,0,2.083603541056315e-07,2.954437335332235e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:39,codecarbon,95a8861c-58a6-48f3-8068-31854ed583f2,0.0601928234100341,5.38206736246745e-08,8.94137715688255e-07,5.0,0.0,12.0,8.349021275838215e-08,0,1.9977649052937829e-07,2.832667032877604e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:40,codecarbon,7d389265-7318-4e23-a05b-b93ed423dd40,0.0660657882690429,5.9156530433230936e-08,8.954185211917078e-07,5.0,0.0,12.0,9.168320231967504e-08,0,2.196669578552246e-07,3.1135016017489964e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:41,codecarbon,b8c87d77-0d9f-485b-9453-35b0f6341d8c,0.0622673034667968,5.568807125091553e-08,8.943388929731055e-07,5.0,0.0,12.0,8.637110392252607e-08,0,2.0672400792439778e-07,2.930951118469239e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:42,codecarbon,b4fd3180-0492-44be-a2ed-b313b7e7c3b1,0.0689048767089843,6.164295872052512e-08,8.946095206130396e-07,5.0,0.0,12.0,9.559690952301025e-08,0,2.288397153218588e-07,3.24436624844869e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:43,codecarbon,e6823b02-05e2-45dd-b4aa-a06850da229b,0.0731458663940429,6.535643802748785e-08,8.93508290344217e-07,5.0,0.0,12.0,1.0143485334184434e-07,0,2.425463994344076e-07,3.439812527762519e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:48,codecarbon,00ea74d8-900d-4a4a-b11a-e23cd46fdf9f,0.1105129718780517,9.90401241514418e-08,8.96185510789901e-07,5.0,0.0,12.0,1.5342368019951714e-07,0,3.678401311238607e-07,5.212638113233778e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:50,codecarbon,93929a87-778a-4226-9625-8120439e924f,0.1199169158935546,1.074524607923296e-07,8.960575744602266e-07,5.0,0.0,12.0,1.6646948125627305e-07,0,3.990697860717774e-07,5.655392673280505e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:51,codecarbon,09ba33c5-10d7-4fd9-a05d-2c13e5aec23c,0.1398401260375976,1.2532298697365653e-07,8.961876002597564e-07,5.0,0.0,12.0,1.941515339745416e-07,0,4.6544313430786133e-07,6.595946682824028e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:52,codecarbon,59fc4492-cff2-4e65-be8c-8148f46730db,0.0898220539093017,8.037898275587294e-08,8.948691246476729e-07,5.0,0.0,12.0,1.2463066313001844e-07,0,2.984166145324707e-07,4.230472776624892e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:54,codecarbon,94033c6d-a037-4701-819e-32f9c4bb9b1c,0.0880510807037353,7.878014842669168e-08,8.947096139769427e-07,5.0,0.0,12.0,1.221388578414917e-07,0,2.924935022989909e-07,4.1463236014048257e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:55,codecarbon,92880f46-3e6a-4797-b1b4-a39aa00567ba,0.0936172008514404,8.379037711355423e-08,8.950318568755305e-07,5.0,0.0,12.0,1.299086544248793e-07,0,3.110933303833008e-07,4.410019848081801e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:56,codecarbon,527b926f-6a38-48a8-8a6c-6cdb5f459617,0.0898540019989013,8.049644695387945e-08,8.958582273816104e-07,5.0,0.0,12.0,1.2473232216305205e-07,0,2.989331881205241e-07,4.236655102835761e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:58,codecarbon,83cb7926-e074-4d8d-b2d1-da853a1a7f7b,0.0925140380859375,8.284394409921435e-08,8.954743065291294e-07,5.0,0.0,12.0,1.2840992874569366e-07,0,3.07610829671224e-07,4.360207584169176e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:59,codecarbon,1f8a0bd5-fbb9-4ef7-843f-09621ed5b3ba,0.0906620025634765,8.11619347996182e-08,8.952144504285912e-07,5.0,0.0,12.0,1.258181201087104e-07,0,3.0134995778401696e-07,4.271680778927274e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:12:00,codecarbon,9e870e7c-a381-46dc-89d0-7195fde0802c,0.0912809371948242,8.168354630470275e-08,8.948587603823851e-07,5.0,0.0,12.0,1.266529162724813e-07,0,3.0326048533121745e-07,4.299134016036987e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:12:01,codecarbon,026533d3-d206-4fa7-83a4-92d779fe9641,0.0902581214904785,8.085768553945755e-08,8.958494172514697e-07,5.0,0.0,12.0,1.2528333399030898e-07,0,3.002834320068359e-07,4.255667659971449e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:12:03,codecarbon,1c88c5b7-a2b5-49d1-9b25-bc9ebc755726,0.0978569984436035,8.765856689876984e-08,8.957822975664718e-07,5.0,0.0,12.0,1.3583766089545357e-07,0,3.255232175191244e-07,4.613608784145781e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
